"","GeneSymbol","Initially.Assigned.Module.Color","KMEturquoise","KMEblack","KMEpink","KMEbrown","KMEblue","KMEgreen","KMEyellow","KMEmagenta","KMEred","KMEgrey"
"NDUFA4L2","NDUFA4L2","turquoise",0.235914744227204,-0.0993088731328666,-0.239083434240217,-0.183393601198343,-0.355435745367758,-0.364951807813378,-0.0393430329154142,-0.00859543630410153,-0.099344648662975,-0.140792335719661
"MT1M","MT1M","brown",0.0582536804449224,0.0544010585043947,0.132208862177251,0.0738044031835171,0.0706777494529753,0.0770837945392694,0.0428571988295054,-0.0231965789696955,0.0356642826721026,0.0634264097702484
"TPM2","TPM2","turquoise",0.609446529135205,-0.0538453019953544,-0.368560253632009,-0.399466857722659,-0.699096431803242,-0.540912075624473,-0.0415436750845311,-0.0268999452667639,-0.0884112170115767,-0.144783455351284
"MT2A","MT2A","brown",-0.11124143907709,0.00384230793980201,0.171092195166154,0.207792328357544,0.206033173768121,0.314872691837609,-0.000561671105500948,-0.0257481695548236,0.0606704994275019,0.123727463309779
"PTGDS","PTGDS","blue",-0.0557281217924629,0.180069591444791,0.151504984000302,0.202306411112181,0.187116496305412,0.262714730733734,0.124693833549226,0.00446368083180978,0.133511645038883,0.105589645049529
"MGP","MGP","blue",-0.546862968878382,-0.0258530011223501,0.248086673390213,0.468601013472163,0.762727760564623,0.6841279556111,0.0507486875292015,-0.0532641588984381,0.0568463207553928,0.20103693235058
"CCL4","CCL4","magenta",-0.0198258044300657,0.0124700757569509,-0.0113156786340271,0.0169501504392683,-0.0097218247706874,-0.00609857692833028,0.0430987917246891,0.508864122817586,0.00674602943164218,-0.0191297711280513
"RRAD","RRAD","turquoise",0.36800245293037,-0.0156145899943958,-0.0922092104295433,-0.175733985128415,-0.353011441524154,-0.296689067876347,-0.00155313257578742,-0.0111528169149282,-0.0270693877256522,-0.029165725056504
"CD14","CD14","green",-0.127864353273634,0.0181395791330263,0.156890182319979,0.132347926466929,0.21946247061503,0.210830223667226,0.0512347308802478,-0.0159713409143576,0.046348099841942,0.0547469661405762
"CXCL1","CXCL1","grey",-0.0751507040043137,0.0120528746156733,0.0738282852478379,0.0440428683422128,0.0977146450415904,0.093478711141008,0.00649318018447819,-0.00514338787175835,0.020484399173289,0.0419608970523715
"ADM","ADM","green",0.00608996697153007,-0.0156465344633854,-0.0169324187875409,-0.0151217289645151,-0.0112498880087636,-0.0119455971425121,-0.018618310460191,0.0038008637485661,0.00787765279640916,-0.0115576842048161
